"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Beta 2","Alpha","TGFB1","TGFbR1_R2",2.52361082441326e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Beta 2","Beta 1","TGFB1","TGFbR1_R2",2.21968492229813e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Beta 2","Delta","TGFB1","TGFbR1_R2",2.16537426327499e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Beta 2","Beta 2","TGFB1","TGFbR1_R2",0.000104508297667788,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Beta 2","Beta 3","TGFB1","TGFbR1_R2",2.52952691072317e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Beta 2","Alpha","TGFB2","TGFbR1_R2",3.65616152283387e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Beta 2","Beta 1","TGFB2","TGFbR1_R2",3.21583053313876e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Beta 2","Delta","TGFB2","TGFbR1_R2",3.13714443510405e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Beta 2","Beta 2","TGFB2","TGFbR1_R2",1.51420938438311e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Beta 2","Beta 3","TGFB2","TGFbR1_R2",3.6647325416199e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Beta 2","Alpha","TGFB3","TGFbR1_R2",1.7891010750391e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","Beta 2","Beta 1","TGFB3","TGFbR1_R2",1.57362974449046e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
