"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Beta 1","Alpha","TGFB1","TGFbR1_R2",1.50588412554198e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Beta 1","Beta 1","TGFB1","TGFbR1_R2",6.01098200928725e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Beta 1","Delta","TGFB1","TGFbR1_R2",3.81050572941893e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Beta 1","Alpha","TGFB2","TGFbR1_R2",2.21888670251404e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Beta 1","Beta 1","TGFB2","TGFbR1_R2",8.85708293059063e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Beta 1","Delta","TGFB2","TGFbR1_R2",5.61470635050575e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Beta 1","Beta 1","TGFB3","TGFbR1_R2",4.62552591623645e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Beta 1","Alpha","TGFB1","ACVR1B_TGFbR2",1.10021553483729e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","Beta 1","Beta 1","TGFB1","ACVR1B_TGFbR2",2.17237025977783e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Beta 1","Delta","TGFB1","ACVR1B_TGFbR2",1.70333708961241e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","Beta 1","Beta 2","TGFB1","ACVR1B_TGFbR2",6.98828463900453e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","Beta 1","Beta 3","TGFB1","ACVR1B_TGFbR2",6.9144201183033e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","Beta 1","Beta 2","TGFB1","ACVR1C_TGFbR2",7.87942627364637e-06,0,"TGFB1_ACVR1C_TGFBR2","TGFB1 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"14","Beta 1","Beta 3","TGFB1","ACVR1C_TGFbR2",7.26404990868597e-06,0,"TGFB1_ACVR1C_TGFBR2","TGFB1 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"15","Beta 1","Alpha","TGFB2","ACVR1B_TGFbR2",1.62115660833359e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"16","Beta 1","Beta 1","TGFB2","ACVR1B_TGFbR2",3.20099581255212e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"17","Beta 1","Delta","TGFB2","ACVR1B_TGFbR2",2.5098628955305e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
